,DisID,Year,AvgPrice,AvgTotalPrice,AvgAreas
Baoshan,1,2012,20272.7692,223.3846154,110.2169219
Baoshan,1,2013,21530.4634,242.9756098,113.402317
Baoshan,1,2014,25408.3333,250.6212121,99.84272772
Baoshan,1,2015,26106.8238,215.7250608,82.40499828
Baoshan,1,2016,30848.6602,243.6851642,78.89898072
Changning,2,2012,38377.9704,575.1111111,145.8679261
Changning,2,2013,39569.1972,558.2796781,137.4322131
Changning,2,2014,40948.022,558.7926606,131.5672295
Changning,2,2015,44571.0478,509.3963741,110.4392665
Changning,2,2016,52970.4505,503.4349845,91.39515477
Fenxian,3,2012,0,0,0
Fenxian,3,2013,0,0,0
Fenxian,3,2014,15838.8054,144.239819,93.9004072
Fenxian,3,2015,15838.8054,144.239819,93.9004072
Fenxian,3,2016,17402.4195,150.0838926,86.29196309
Hongkou,4,2012,33737,370,111.5
Hongkou,4,2013,32427.3846,374.3076923,117.8438463
Hongkou,4,2014,34609.9028,367.8888889,106.00132
Hongkou,4,2015,38946.5493,372.0856924,93.8465571
Hongkou,4,2016,43911.8477,324.3487395,70.82763655
Huangpu,5,2012,36379.931,492.4741379,131.4212936
Huangpu,5,2013,40809.6497,526.611465,126.8385563
Huangpu,5,2014,43188.7793,541.6171875,123.3108202
Huangpu,5,2015,50273.0827,568.019088,110.6976194
Huangpu,5,2016,64708.2427,647.0994695,96.81527855
Jiading,6,2012,0,0,0
Jiading,6,2013,0,0,0
Jiading,6,2014,13962,110,78.77999878
Jiading,6,2015,21723.2794,188.800578,86.90675347
Jiading,6,2016,25612.8585,227.1564626,87.78517001
Jingan,7,2012,39357.25,489.69,121.2711003
Jingan,7,2013,42632.5422,467.8991826,110.0780656
Jingan,7,2014,47155.1225,482.1581028,101.2427274
Jingan,7,2015,53394.4494,529.8987109,99.47565378
Jingan,7,2016,67361.5166,590.5,87.560924
Zhabei,8,2012,33727.6667,335.6666667,102.5933338
Zhabei,8,2013,35906.5,360.5357143,100.4650002
Zhabei,8,2014,34040.4154,328.0769231,94.73687192
Zhabei,8,2015,37065.4468,324.8131789,85.50294713
Zhabei,8,2016,43755.0143,322.273794,71.14608874
Minhang,9,2012,26953.5484,609.8387097,165.3080639
Minhang,9,2013,25985.7264,443.2358491,162.2240562
Minhang,9,2014,27054.2416,350.7177033,125.6244494
Minhang,9,2015,29180.5772,311.0718927,104.2484594
Minhang,9,2016,33183.4861,306.8173032,89.39742341
Pudong,10,2012,35426.5616,632.1780822,162.6084924
Pudong,10,2013,38295.6397,672.4492063,167.1742546
Pudong,10,2014,37609.1066,608.1647819,154.7800488
Pudong,10,2015,34308.6272,385.8184472,102.6657705
Pudong,10,2016,37274.8171,345.2533445,87.13149991
Putuo,11,2012,28540.3423,319.8791946,111.4998662
Putuo,11,2013,30341.3075,338.2630561,112.4985686
Putuo,11,2014,32527.4868,366.5639098,112.1652632
Putuo,11,2015,34872.7134,323.4319009,89.03651854
Putuo,11,2016,40899.7817,316.9898706,73.23211028
Qingpu,12,2012,29664.3,960.3,331.3020027
Qingpu,12,2013,23646.6761,666.4929577,259.4795775
Qingpu,12,2014,21070.4118,453.2941176,206.2876484
Qingpu,12,2015,20699.4286,310.8805195,135.730883
Qingpu,12,2016,22913.064,283.867378,113.4350153
Songjiang,13,2012,22487.5714,861.4285714,373.8399963
Songjiang,13,2013,22007.1731,634.5961538,264.0101918
Songjiang,13,2014,18007.6333,323.05,174.4504991
Songjiang,13,2015,20809.299,251.7941039,120.8874075
Songjiang,13,2016,24240.407,271.4129142,111.2942778
Xuhui,14,2012,40037.8816,551.2894737,136.8905259
Xuhui,14,2013,41845.5856,535.2566845,127.3396524
Xuhui,14,2014,45147.5145,537.0507246,119.9351934
Xuhui,14,2015,44486.5538,402.8788084,88.36682134
Xuhui,14,2016,51897.036,411.9047066,76.74249857
Yangpu,15,2012,0,0,0
Yangpu,15,2013,43024.5,814.5,170.8899994
Yangpu,15,2014,33682.8916,425.5783133,126.5169879
Yangpu,15,2015,34924.5321,289.5625818,79.94953341
Yangpu,15,2016,40443.8527,267.6814681,62.97661079